شماره ترمینال,SumOfتعداد برداشت وجه,SumOfمبلغ برداشت وجه,SumOfکارمزد برداشت وجه,SumOfتعداد مانده گیری,SumOfکارمزد مانده گیری,SumOfتعداد پرداخت قبض,SumOfمبلغ پرداخت قبض,SumOfکارمزد شتابی پرداخت قبض,SumOfتعداد خرید شارژ,SumOfمبلغ خرید شارژ,SumOfکارمزد شتابی خرید شارژ,SumOfتعداد انتقال وجه,SumOfمبلغ انتقال وجه,SumOfکارمزد شتابی انتقال وجه,SumOfتعداد سایر تراکنش ها,SumOfمبلغ سایر تراکنش ها,tedad_kol,Expr1
385598,6813,6280600000,51365925,2984,1454000,355,231104000,508500,1094,40960000,1551000,5163,34737902600,15727500,5941,45356675352,22350,70606925
225064,7251,5991800000,38397900,2309,819000,422,204059000,430500,696,26470000,802500,5067,34639691670,15047000,6602,51288312633,22347,55496900
384649,8315,6735950000,54051500,2694,1291000,411,220596000,568500,884,40190000,1267500,4666,23237602971,14197000,5336,31131275423,22306,71375500
221578,7842,7145000000,48952775,2469,908000,574,359857000,642000,583,30540000,718500,4751,33318561065,14317000,6077,42454610830,22296,65538275
384380,5943,6020150000,37923175,2546,945500,478,448852000,466500,560,22910000,702000,5700,40795395297,16985500,7047,53741951041,22274,57022675
386308,8781,5703060000,48065885,3984,1983000,239,50117000,355500,1265,36520000,1867500,3670,18129068882,11106000,4332,28121083839,22271,63377885
215631,6523,7222300000,44018525,2697,877500,783,424158000,753000,345,17210000,363000,5211,43372424287,15432500,6678,57900505850,22237,61444525
315928,9029,5568040000,45434880,3605,1731000,182,96561000,255000,1814,47240000,2595000,3430,16524557510,10398000,4161,25357620535,22221,60413880
224558,7391,6368050000,44525550,2490,943500,513,342553000,594000,574,29880000,723000,4929,33360047840,14900000,6275,45393944233,22172,61686050
224814,7154,5768300000,36083350,2542,787500,479,523416000,522000,561,24910000,622500,4711,39148203507,14192500,6662,59502705880,22109,52207850
384517,10550,8181750000,68173060,3339,1652500,487,155946000,723000,1484,44070000,2206500,2835,15433619787,8548000,3389,22969103838,22084,81303060
224815,7064,6121850000,42514875,2305,779000,496,290839000,504000,640,29610000,765000,4952,41395513002,14828500,6596,57860463206,22053,59391375
386360,8459,6470240000,52182860,3210,1543000,238,137482000,334500,1666,51340000,2422500,3875,18032384359,11804500,4547,25460937785,21995,68287360
208791,7196,5783250000,34552500,2066,589000,475,597050000,390000,504,22600000,612000,5005,47211052642,14233000,6683,68536237482,21929,50376500
224818,6907,5482170000,41315100,2330,965000,496,415397000,628500,839,40620000,1119000,4955,33577145470,15237500,6400,42649116858,21927,59265100
220911,6655,6155200000,39088950,2138,725000,387,361223000,390000,576,28050000,652500,5262,39348643460,15647500,6896,51565914051,21914,56503950
386054,9467,6954300000,58737975,3065,1522000,245,112041000,364500,1446,46720000,2152500,3483,15783222625,10508000,4187,23408507838,21893,73284975
384690,7294,4971460000,41992210,3246,1615000,415,112627000,609000,1195,40480000,1774500,4472,21192139818,13488500,5265,29492630982,21887,59479210
374117,9496,5409660000,44062555,3510,1707000,282,92338000,409500,2188,54460000,3202500,2909,12896214874,8814500,3448,19705130749,21833,58196055
386255,8702,7015820000,51348245,3036,1370000,234,115805000,292500,1108,35550000,1518000,3984,20779105385,12147500,4742,29583704465,21806,66676245
225104,5810,5972650000,35723800,2046,602500,485,486840000,432000,352,16300000,384000,5445,47817258164,16009500,7665,67208710826,21803,53151800
386323,8319,5016880000,41388455,2974,1452000,224,77341000,331500,1207,40330000,1759500,4153,17415879770,12609000,4908,24129844298,21785,57540455
315588,7806,6062080000,49060215,3062,1481500,58,21576000,79500,1461,38800000,2116500,4347,28982384977,13272500,5050,38614633180,21784,66010215
221580,7143,6552450000,40102150,2082,643000,362,330282000,352500,352,17980000,405000,5148,44787895189,15140000,6671,59830319765,21758,56642650
384516,8729,7137950000,60042300,3113,1542000,565,227025000,834000,1444,48140000,2152500,3611,19406871219,10900000,4293,28520183262,21755,75470800
