شماره ترمینال,SumOfتعداد برداشت وجه,SumOfمبلغ برداشت وجه,SumOfکارمزد برداشت وجه,SumOfتعداد مانده گیری,SumOfکارمزد مانده گیری,SumOfتعداد پرداخت قبض,SumOfمبلغ پرداخت قبض,SumOfکارمزد شتابی پرداخت قبض,SumOfتعداد خرید شارژ,SumOfمبلغ خرید شارژ,SumOfکارمزد شتابی خرید شارژ,SumOfتعداد انتقال وجه,SumOfمبلغ انتقال وجه,SumOfکارمزد شتابی انتقال وجه,SumOfتعداد سایر تراکنش ها,SumOfمبلغ سایر تراکنش ها,tedad_kol,Expr1
224854,2330,1318700000,9367850,1073,366500,17,7405000,22500,492,14620000,672000,999,5904032573,3171000,1578,9483558751,6489,13599850
224989,4514,3875050000,25866775,1631,497500,644,485218000,828000,507,19970000,664500,1803,10806718841,5592500,2787,15140059017,11886,33449275
385618,2590,2298080000,16428545,1098,370500,231,139012000,279000,358,15730000,477000,1369,8483068212,4235000,1951,12717309596,7597,21790045
220536,1874,1416990000,7445745,1124,230000,125,57636000,126000,242,8690000,246000,1064,7849909784,3258000,2091,10274651440,6520,11305745
358127,1831,1379140000,11618055,580,286000,66,17934000,96000,297,7460000,438000,586,2304886297,1789000,711,3320991297,4071,14227055
216553,3415,3018250000,21761360,1377,452000,160,70999000,187500,420,14460000,538500,1228,8685538563,3854000,2057,11696736447,8657,26793360
383652,2349,1789540000,14082545,848,342000,115,116272000,123000,474,15380000,616500,877,5568690763,2760000,1236,8296700802,5899,17924045
226116,2771,2220960000,13534890,1272,329000,135,96742000,154500,335,11680000,411000,1707,12972309143,5250000,2815,18594968206,9035,19679390
385641,1332,1193390000,8122175,650,173000,79,29627000,103500,177,7390000,217500,710,5189844228,2203000,1426,6765538036,4374,10819175
291243,10019,7296400000,61430775,3684,1826000,252,83845000,378000,1794,51930000,2637000,2691,9754890909,8150000,3272,15789487424,21712,74421775
224852,2319,1948000000,12441450,1038,279500,104,68026000,111000,267,8360000,318000,983,6090738179,2999000,1994,11875186029,6705,16148950
386445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284648,2475,1616650000,10828405,1376,468000,242,113545000,324000,475,15130000,612000,1276,7774345885,4103500,2073,11355347874,7917,16335905
224967,3390,2639160000,18017025,1401,434500,170,92175000,190500,631,31840000,852000,1641,10457776609,5167000,2466,15067050147,9699,24661025
224943,1282,1147930000,7024145,700,150500,89,119531000,87000,135,7940000,159000,1027,9558408166,3242000,1830,13255730647,5063,10662645
386196,667,533200000,4248980,321,143500,27,28882000,37500,199,7550000,291000,595,3425528995,1802500,707,5339982455,2516,6523480
279234,1679,1195610000,8724485,930,358000,33,10708000,40500,332,11150000,433500,1632,10795802221,5063000,2171,12815778321,6777,14619485
294552,1840,1126480000,8895335,931,412500,33,28213000,46500,350,12120000,483000,1048,6862089850,3256000,1268,8520805587,5470,13093335
226011,2975,2470750000,16877175,1220,388500,139,86152000,147000,285,14580000,339000,1511,11718843918,4671000,2499,19417521093,8629,22422675
385458,2347,2047450000,13469100,1097,320000,161,96450000,178500,377,17300000,426000,1560,13585018678,4777000,2610,20279078305,8152,19170600
204972,6016,5649550000,37975875,2084,630500,144,59184000,150000,716,23490000,874500,3274,22005242057,10083500,4775,30899409007,17009,49714375
294120,6986,6368950000,50458975,1934,801500,47,29133000,52500,708,24700000,972000,2243,15933414302,6827500,3129,25235233514,15047,59112475
294121,7272,6729600000,53065075,1846,764000,52,57406000,49500,745,29190000,1000500,2034,13471848180,6261500,2741,22361308741,14690,61140575
224831,6529,5550300000,39433200,2388,872000,147,125362000,166500,888,37040000,1159500,2790,18671626533,8653000,3887,27761764628,16629,50284200
216537,9034,8656050000,62735525,3066,1180500,280,317551000,322500,1464,59030000,1881000,4394,24776018705,13587500,5643,33142031369,23881,79707025
220885,2604,2025030000,13233735,1240,358500,106,66223000,106500,415,19130000,477000,2352,22441809770,7283000,3569,30447875435,10286,21458735
216605,5285,3992690000,28100320,1913,686500,108,80797000,115500,869,30370000,1120500,1988,12015019060,6013000,2975,17420017205,13138,36035820
217480,3474,2864950000,19282675,1439,464000,103,52025000,99000,391,14240000,501000,2110,16609820828,6568000,3154,20890074656,10671,26914675
385638,3695,2995100000,22722625,1481,621000,62,24622000,88500,698,18020000,948000,1630,10241512323,5144500,2118,15602431170,9684,29524625
385639,7801,6362560000,48167630,2973,1235500,298,140570000,396000,1543,65310000,2103000,4711,26881831831,14545000,5878,36096372753,23204,66447130
385640,4967,3653200000,27358525,1615,659000,165,131958000,217500,976,31630000,1312500,1780,10579591979,5653500,2599,14832374911,12102,35201025
350524,6071,5635730000,40261440,2723,1067500,184,90923000,216000,1006,47430000,1312500,3968,24479913444,12397000,5222,35085158192,19174,55254440
224994,1693,1550860000,8357795,1072,215000,108,84677000,114000,171,9590000,183000,1176,8996518888,3784500,2159,14695550074,6379,12654295
279774,2724,2409680000,15229280,1133,334500,269,162011000,318000,277,12450000,349500,1521,14907612055,4681500,2442,18677159020,8366,20912780
226537,2412,1782000000,12333075,927,282500,153,135715000,139500,312,10110000,424500,962,6681391994,3064000,1651,9369944932,6417,16243575
224385,5453,5454450000,29879625,1924,599500,252,158252000,313500,543,19200000,721500,2460,15176233391,7449500,3425,20355779412,14057,38963625
225146,3421,2212400000,15023325,1439,491000,117,75170000,132000,786,23340000,1081500,1020,6596787688,3204500,1754,11482318850,8537,19932325
224993,1934,1780270000,11375125,1016,285500,250,141648000,310500,244,8790000,291000,1214,8914482651,3718000,1978,14865262947,6636,15980125
296396,1382,1029660000,8009210,565,261500,184,57924000,264000,237,7010000,351000,564,2790297900,1713000,725,3427557902,3657,10598710
224425,3505,3028540000,20766775,1510,417000,263,123504000,319500,367,14060000,448500,1563,9916399062,4903500,2658,12707852063,9866,26855275
225000,1422,1284150000,6794900,1005,229000,99,71952000,97500,218,9630000,220500,1519,13108445239,4635500,2440,17051036412,6703,11977400
386301,924,606000000,5073650,508,246500,16,3978000,24000,221,5680000,330000,291,793592000,916000,408,1108102000,2368,6590150
273987,2746,2346900000,15109600,929,303000,67,38077000,76500,433,11300000,541500,1096,7460207090,3483000,1704,10241805311,6975,19513600
268448,2010,1721110000,10410460,900,246000,68,163499000,78000,269,9960000,313500,920,6464915319,2871000,1543,9350213549,5710,13918960
268449,1043,915690000,5224440,605,167500,50,39827000,43500,160,5940000,160500,596,4196500629,1892000,973,5767840206,3427,7487940
297828,4676,4361920000,32647140,1349,493500,120,78927000,154500,660,25300000,829500,1943,12871586217,6062500,2560,16196169229,11308,40187140
221018,3783,3279800000,22644850,1675,597500,123,101653000,124500,580,18790000,726000,1591,11101218750,4942000,2411,16145355329,10163,29034850
216628,3496,2771600000,17338300,1525,409000,126,1344466000,117000,475,14250000,582000,1548,9614126499,4717000,2587,14247158685,9757,23163300
224991,1337,911280000,5301195,700,174500,104,48284000,118500,201,8500000,244500,750,5863672255,2426000,1313,8118410650,4405,8264695
226114,4176,4088900000,22466350,1950,453000,383,357418000,330000,465,22920000,486000,3232,25131800914,9634000,5294,34324834750,15500,33369350
226115,4562,4445550000,25363575,2197,626000,507,383430000,531000,517,26110000,552000,3538,25954054219,10732000,5230,32768539886,16551,37804575
291594,5221,5446100000,29579575,2519,655000,442,352182000,370500,471,22530000,435000,5200,42662604469,15287000,7373,54500023871,21226,46327075
224490,3519,2863050000,15713525,1722,403000,416,314774000,466500,374,14280000,391500,1906,15983218713,5686500,3789,24003576365,11726,22661025
222084,3752,3396000000,19571675,1983,512000,504,405348000,555000,476,17600000,501000,2442,18154729668,7478500,4658,28940570797,13815,28618175
222082,5769,5615450000,36539375,2908,1018500,464,359831000,504000,547,27330000,625500,4179,27479056729,12581500,5657,39376062007,19524,51268875
385015,4775,4763650000,30616575,2493,889500,502,358763000,537000,466,25300000,561000,3621,25259441975,10879500,4879,34195687676,16736,43483575
222083,5911,5872950000,36207025,3010,961500,771,535601000,721500,859,31950000,955500,4280,30475666785,12681000,6303,44529869520,21134,51526525
215198,7289,6773350000,41282375,2957,874500,663,486319000,738000,913,41310000,936000,4737,33807432671,14170000,7279,45626126345,23838,58000875
386404,6065,4964050000,34711025,3045,1138000,436,333571000,516000,883,33230000,1113000,3503,20545396675,10831500,5244,32620898910,19176,48309525
351044,5608,4573400000,32561375,2553,931500,343,224288000,381000,730,28110000,925500,3074,17483018088,9460000,4565,25314334733,16873,44259375
326221,6137,5824700000,34776900,2940,927000,494,323712000,505500,620,27260000,715500,4576,35940981278,13614500,6556,45613924012,21323,50539400
225160,3088,3128800000,21065125,1835,613000,48,74695000,43500,638,32440000,855000,2314,20444042449,6900500,3433,31648200942,11356,29477125
221426,5633,5778350000,42813225,2207,842000,96,92205000,99000,880,37020000,1125000,3712,24000095234,11453500,4723,35704773342,17251,56332725
386294,4434,3138300000,25656825,1122,542000,67,21673000,96000,718,23810000,1053000,644,3435961072,1958000,784,5529628644,7769,29305825
386295,3137,2530650000,20297575,1053,490000,68,28665000,88500,498,19040000,690000,1301,6528634822,3967000,1554,7827723086,7611,25533075
