شماره ترمینال,SumOfتعداد برداشت وجه,SumOfمبلغ برداشت وجه,SumOfکارمزد برداشت وجه,SumOfتعداد مانده گیری,SumOfکارمزد مانده گیری,SumOfتعداد پرداخت قبض,SumOfمبلغ پرداخت قبض,SumOfکارمزد شتابی پرداخت قبض,SumOfتعداد خرید شارژ,SumOfمبلغ خرید شارژ,SumOfکارمزد شتابی خرید شارژ,SumOfتعداد انتقال وجه,SumOfمبلغ انتقال وجه,SumOfکارمزد شتابی انتقال وجه,SumOfتعداد سایر تراکنش ها,SumOfمبلغ سایر تراکنش ها,tedad_kol,Expr1
386579,3033,2019670000,17158695,1517,734500,117,30527000,175500,481,14920000,708000,1355,6381378722,4084000,1652,9570974732,8155,22860695
224743,3150,2099970000,16841220,1149,551000,76,46320000,102000,559,14650000,807000,1455,6990291829,4456500,1719,9475513909,8108,22757720
224854,2751,1613650000,11826900,1188,454000,30,14762000,42000,436,12540000,604500,1521,8279698681,4758500,2129,12801892689,8055,17685900
220536,2472,1922700000,11631315,1164,268000,166,86752000,180000,228,7810000,262500,1427,10507830393,4487000,2593,18100764147,8050,16828815
386043,3426,2155750000,17972825,1318,652500,107,63958000,151500,632,16220000,925500,1129,4010568750,3397500,1434,6208911051,8046,23099825
386171,2731,1730870000,14335165,1699,837000,139,43832000,180000,667,17780000,982500,1275,5902898335,3860500,1526,10709660511,8037,20195165
224252,2228,1671100000,12981625,1190,563500,251,152921000,342000,433,17670000,633000,1807,11144082815,5565000,2124,14912906735,8033,20085125
385458,2336,1790150000,12376425,941,307500,148,205133000,172500,316,13950000,373500,1711,14234003687,5324500,2574,20386456879,8026,18554425
386362,2555,2190400000,16929025,631,278000,19,17665000,24000,161,7780000,231000,2153,15799414542,6564500,2506,19347777542,8025,24026525
386154,2526,1959850000,15599965,1080,517000,58,20539000,75000,408,11030000,583500,1799,9558184300,5509000,2130,13392420469,8001,22284465
284769,2270,2141850000,15060300,949,340500,229,198038000,270000,192,8640000,255000,1837,14446315068,5666000,2516,18820937655,7993,21591800
224852,2345,2044900000,13299100,1217,361500,113,72384000,124500,403,14150000,508500,1362,10152167938,4179000,2492,14963186371,7932,18472600
386522,3306,2021790000,16197515,1138,544000,125,67215000,180000,393,18920000,564000,1371,6444102587,4179500,1564,8206970216,7897,21665015
279636,2213,2050200000,13468420,1241,511000,219,132423000,276000,359,19730000,465000,1730,12005124157,5245500,2117,15996418388,7879,19965920
224253,2926,2485840000,17945540,910,385000,126,89877000,169500,498,28420000,702000,1549,10279062466,4804500,1859,13703108589,7868,24006540
386492,3509,2660750000,22084700,1218,599500,71,20436000,103500,515,14280000,745500,1147,5148159864,3485000,1345,6552492795,7805,27018200
224850,2459,1849840000,12765470,1039,333500,112,88040000,111000,321,12110000,442500,1508,10756075128,4666000,2339,16173969138,7778,18318470
386394,3402,2622330000,21688430,1350,653000,66,23455000,94500,563,14780000,819000,1087,4912518000,3293000,1296,6447162001,7764,26547930
386383,2330,2051410000,13563790,842,363500,139,115558000,184500,342,21650000,393000,1847,12094138782,5690000,2214,15852539783,7714,20194790
386366,2386,1338060000,11064790,1462,710000,109,35276000,160500,512,16510000,757500,1459,5872734430,4436500,1767,8994634887,7695,17129290
386177,2526,2826290000,18738675,1205,495000,153,116192000,157500,229,15100000,271500,1590,13036038419,4870000,1948,16385561917,7651,24532675
225160,1958,1434750000,9942450,1020,343500,57,113102000,54000,468,22460000,621000,1669,13433829572,4924000,2468,18760467348,7640,15884950
386294,3688,2520150000,20752325,1158,556000,160,109254000,222000,597,19510000,870000,909,4304823362,2772000,1124,5650304398,7636,25172325
262566,2985,1966000000,15740300,960,442000,122,45770000,156000,336,11440000,456000,1495,7774403955,4573000,1735,9590331024,7633,21367300
224993,2167,1843420000,12299245,940,276000,284,126403000,385500,266,9130000,318000,1565,9554384404,5033500,2296,12715465432,7518,18312245
384261,1417,1246880000,6625835,910,219000,235,298445000,183000,150,8560000,160500,1916,14981245412,5937000,2824,21192417969,7452,13125335
384796,2442,1777100000,13328000,897,394500,233,112474000,313500,226,12480000,306000,1701,8815214883,5252000,1948,10449521556,7447,19594000
386578,3329,2569930000,20819475,1312,638000,49,18900000,70500,501,14320000,705000,1018,4841838265,3086000,1236,8648037365,7445,25318975
224994,1836,1495690000,9192920,1084,231000,176,121086000,192000,179,7850000,228000,1523,11466625280,4743000,2625,15628705347,7423,14586920
385815,2843,2245650000,17589135,804,358000,71,43072000,69000,337,25240000,468000,1530,9723088426,4642000,1805,13065284626,7390,23126135
386538,2521,1829530000,14665560,869,397500,71,56399000,99000,319,10970000,454500,1656,9575059900,5049000,1950,12583516816,7386,20665560
386416,3020,2340200000,16333515,943,394000,105,103398000,121500,252,11170000,324000,1385,10720107036,4280500,1669,13720239682,7374,21453515
223713,2764,1996220000,15674850,929,325500,236,251396000,280500,281,11910000,384000,1171,9367930562,3691000,1935,13300673264,7316,20355850
386365,2342,1592320000,13289920,1333,654000,106,35093000,151500,511,17360000,759000,1350,6375216371,4024000,1664,8552567746,7306,18878420
385823,2348,1728150000,12421050,911,341500,438,650465000,606000,346,13550000,466500,1449,9267112940,4282000,1812,15555206940,7304,18117050
385634,2506,1654150000,12820550,949,378000,90,48761000,118500,327,12570000,454500,1449,8359735735,4425500,1944,13067422990,7265,18197050
223080,1855,1667500000,7575200,886,130000,230,265597000,187500,121,7350000,138000,1652,15623072834,4326000,2509,20225541768,7253,12356700
386201,3070,2392410000,18890740,1087,505000,146,61077000,211500,205,10620000,283500,1269,6394556888,3907500,1473,8332406093,7250,23798240
385668,3910,4592300000,36332400,620,276500,27,10136000,37500,214,11510000,289500,1090,7209749781,3344500,1309,9053514781,7170,40280400
386620,3482,2186650000,18353625,1261,611500,93,20770000,139500,411,10910000,607500,850,3456546593,2562000,1038,5105168929,7135,22274125
223058,1954,1900050000,11444400,903,276000,267,129297000,285000,169,9360000,192000,1518,12321891509,4750000,2247,16303325094,7058,16947400
215508,1920,1243940000,8377855,877,255500,211,165841000,238500,177,6790000,223500,1485,12273921438,4641500,2341,19058208539,7011,13736855
386317,2180,1637800000,13522225,824,398000,34,87780000,48000,390,13500000,556500,1603,9022823663,4857500,1925,11572451161,6956,19382225
225000,1492,1347950000,8057575,861,220500,137,81138000,126000,199,6550000,202500,1543,13536971525,4737000,2591,20152672878,6823,13343575
215197,2191,1883310000,12808140,843,254000,348,156451000,409500,247,9460000,309000,1247,9177412777,3876000,1896,12722840152,6772,17656640
383652,2366,1720260000,13448530,861,363500,119,52311000,154500,376,13450000,529500,1268,7188912512,3880000,1692,11669592538,6682,18376030
386099,2597,2313050000,19140725,896,430000,68,41485000,93000,448,15960000,642000,1183,6347586000,3582500,1439,8368431802,6631,23888225
224920,1994,1861660000,12224785,703,301000,95,129137000,126000,309,15340000,354000,1622,11035104288,4994500,1857,14239670030,6580,18000285
224244,2110,1750950000,11834550,953,267500,250,104839000,279000,253,10040000,336000,1030,7715374116,3243000,1948,11900901912,6544,15960050
386286,2991,1902710000,15979660,1021,505500,96,34842000,139500,467,15690000,696000,881,4452189058,2658000,1081,7165550852,6537,19978660
215630,1720,1301500000,8779905,879,257000,218,418399000,238500,188,8000000,247500,1355,10025890996,4289500,2136,13870569334,6496,13812405
385714,2302,1717460000,14116035,853,406000,137,63454000,198000,258,10360000,372000,1327,6703282015,4039500,1564,10135941085,6441,19131535
223321,1412,1203150000,6907525,838,179000,234,176725000,249000,96,6190000,103500,1459,11436239967,4252000,2392,15220198105,6431,11691025
268448,2008,1682260000,10588535,951,249500,90,176429000,100500,254,10250000,313500,1148,8445574233,3608000,1949,11691127155,6400,14860035
386339,2303,1690400000,12020105,717,306500,61,73062000,70500,153,6940000,202500,1413,10396500729,4308500,1735,15151915242,6382,16908105
386580,2439,1693020000,14148165,1214,589500,85,25453000,127500,483,14410000,711000,975,4764688753,2960500,1185,7533484053,6381,18536665
294552,1958,1095400000,8669490,906,390500,94,85897000,117000,372,11500000,529500,1361,8133537637,4202500,1665,10847211045,6356,13908990
385559,1795,1348290000,10268935,674,300500,45,21687000,51000,160,5940000,204000,1646,12000818931,4939000,1972,14796584037,6292,15763435
